Control,Does Your Pipeline Have It? (Yes/No),SLSA Level Satisfied,Evidence
Source code version-controlled,,L1,
Build pipeline automated (CI/CD),,L2,
Build steps produce provenance metadata,,L2,
Source code integrity verified (signed commits),,L2,
Dependency scanning (SCA),,L2,
SAST scanning,,L2,
Container image vulnerability scanning,,L2,
Image signed with Cosign,,L3,
Provenance attestation generated,,L3,
All GitHub Actions pinned to SHA hashes,,L3,
Signed images verified at admission (Kyverno),,L3,
Build is hermetic (no network during build),,L4,
Build is reproducible (identical output),,L4,
Dependencies fully pinned (lock files),,L4,
Build environment isolated and disposable,,L4,
