CIS ID,CIS Description,CBN Domain & Control,NDPA Article,Technical Control,Scan Result
1.1.1,API server pod file permissions ≤ 600,CS 2.3 (Information Security),Art 2.5 (Data Security),Host OS file permission configuration,<PASS/FAIL>
1.2.2,Basic auth file not configured,CS 3.1 (Access Control),Art 2.4 (Data Segregation),K8s API server flag check,<PASS/FAIL>
2.1,etcd encryption configured,CS 2.3 (Data at Rest),Art 2.5 (Encryption),etcd encryption at rest,<PASS/FAIL>
3.2.1,Audit logs enabled,CS 6.1 (Incident Response),Art 5.1 (Breach Detection),K8s audit policy configuration,<PASS/FAIL>
4.2.1,RBAC configured with least privilege,CS 3.1 (Role-Based Access),Art 2.4 (Data Segregation),K8s RBAC roles and bindings,<PASS/FAIL>
5.1.1,Default service accounts not actively used,CS 3.1 (Access Control),Art 2.4 (Access Control),ServiceAccount audit,<PASS/FAIL>
5.2.1,Pod Security Standards set to Restricted,CS 3.2 (Least Privilege),Art 2.4 (Data Segregation),PSA restricted profile,<PASS/FAIL>
5.2.10,Containers run as non-root,CS 3.2 (Least Privilege),Art 2.4 (Access Control),Kyverno deny-root-pods policy,<PASS/FAIL>
5.2.11,Containers have readOnlyRootFilesystem,CS 5.1 (Application Security),Art 2.5 (Data Security),Kyverno require-readonly-rootfs policy,<PASS/FAIL>
5.2.12,Containers drop ALL capabilities,CS 5.1 (Application Security),Art 2.5 (Data Security),securityContext capabilities.drop: ["ALL"],<PASS/FAIL>
5.2.13,Privilege escalation not allowed,CS 3.2 (Least Privilege),Art 2.4 (Access Control),allowPrivilegeEscalation: false,<PASS/FAIL>
5.3.2,Network Policies isolate workloads,CS 4.1 (Network Security),Art 2.5 (Data Security),NetworkPolicy egress/ingress rules,<PASS/FAIL>
5.4.1,Secrets used as files not env vars,CS 2.3 (Secret Management),Art 2.5 (Data Security),Secret volume mounts,<PASS/FAIL>
,Container images signed with Cosign,CS 2.4 (Supply Chain Security),Art 2.5 (Data Integrity),CoSign image signature,<PASS/FAIL>
,SBOM generated for all images,CS 2.4 (Supply Chain Security),Art 2.4 (Transparency),SBOM SPDX document,<PASS/FAIL>
,Runtime anomaly detection active,CS 6.2 (Continuous Monitoring),Art 5.1 (Breach Detection),Falco custom rules + alerting,<PASS/FAIL>
